Designator,Footprint,Quantity,Value,LCSC Part #
"_2, ",,2,,
BT1,AGGO-battery,1,Battery_Cell,
"C1, C10, C13, C15, C16, C24, C28, C3, C39, C5, C52, C56, C57, C59, C63, C7, C70, C71, C72, C73, C74, C9",0402,22,0.1uF/25V,C100072
"C11, C22, C4, C6, C60, C65",0603,6,10uF/25V,C96446
"C12, C36, C37, C38",0805,4,22uF/25V,C602037
C17,0402,1,0.1uF/10V,C315248
"C19, C26, C29, C30, C35, C40, C41, C42, C43, C44, C46, C47, C49, C50, C51, C53, C54, C55, C58, C64, C66, C67, C68",0402,23,1uF/50V,C7500380
C2,0402,1,47nF/25V,C285062
C20,1206,1,47uF/25V,C403725
C21,0402,1,22uF/10V,C315248
C27,0402,1,0.47uF/25V,C7500380
C33,0603,1,500pF/50V,C1624
"C45, C48, C8",0402,3,4.7uF/25V,C6119795
C69,0402,1,0.1uF/16V,C1525
"CN3, CN4, CN5",CONN-SMD_SM05B-SRSS-TB-LF-SN,3,SM05B-SRSS-TB (LF)(SN),C136657
"D3, D4, D5",SOD-882_L1.0-W0.6-RD,3,"PMEG3005EL,315",C282565
F1,F1206,1,BSMD1206-075-6V,C883127
FPC1,FPC-SMD_FPC-0.5-24P-LTH2.0,1,FPC 0.5-24P LTH2.0,C6081230
L1,IND-SMD_L2.5-W2.0,1,252012CDMCDDS-1R0MC,C492725
L2,IND-SMD_L4.0-W4.0_XGL4020,1,XGL4020-471MEC,C5837785
L3,L0805,1,XRTC201210S100MBCA,C39846618
"LED1, LED2, LED3, LED4",LED-ARRAY-SMD_4P-L1.6-W0.8-BL-FD,4,TJ-S1608SW6TDSLCCYRGB-A5,C5356078
NTC1,R0805,1,KNTC0805/10KF3950,C2892549
NTC2,R0402,1,NCP15XH103F03RC,C77131
Q1,SC-70-6L_L2.0-W2.0-P0.65-BL,1,SIA445EDJ-T1-GE3,C144959
Q2,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,ZVN4106FTA_C508255,C508255
Q3,PICOSTAR-6_L2.2-W1.1-R2-C3-P0.65-BL,1,CSD83325L,C2860700
Q4,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,SS8050-G,C164886
Q5,SOT-323-3_L2.0-W1.3-P1.30-LS2.1-BR,1,SI1308EDL,C7603347
"R1, R29, R31, R39, R4, R40, R46",0402,7,100K,C60491
"R10, R26, R30, R36, R54, R55, R56, R57, R58",0402,9,10K,C327797
"R11, R49, R7",0402,3,5.1K,C105872
"R12, R5",0402,2,200R,
R13,0402,1,2K,C106235
"R14, R2, R3, R33, R38, R44, R59",0402,7,100K,C327797
R15,0402,1,15K,C25756
R16,0402,1,20K,C93942
"R17, R20, R23",0402,3,1K,C106235
R18,0402,1,4.12K,C327340
R19,0402,1,17.33K,C851231
R21,0402,1,2.49K,C25884
R22,0402,1,475K,C5713272
R24,0402,1,91K,C327323
R25,0402,1,51K,C107229
"R27, R28, R50, R51, R52, R53",0402,6,22R,C114765
R32,0805,1,50mR,C106231
R35,0805,1,470mR,C106231
R41,0402,1,4.7R,C2909356
R42,0402,1,1M,C138033
R43,0402,1,2.2R,C25101
"R45, R47",0402,2,0R,C106231
"R6, R9",0402,2,10R,C106235
R8,1206,1,5mR 1%/1W,
"SW1, SW2",KEY-SMD_3P-L5.5-W3.8-P3.00,2,TS-1091C-A1B3-D2,C2874581
TF1,TF-SMD_TF-CARD-XG8P-H1.5,1,TF-CARD XG8P H1.5,C7529392
U1,WSON-8_L8.0-W6.0-P1.27-TL-1,1,W25N512GVEIG,C3024446
U13,LGA-10_L2.0-W2.0-P0.50-BL,1,SPL07-003,C3253727
U14,LGA-12_L2.0-W2.0-P0.50-BL,1,LIS2DH12TR,C110926
U15,UQFN-10_L1.8-W1.4-P0.40-BL,1,TMUX121NKGR_C22428404,C22428404
U17,VQFN-16-1EP_3x3mm_P0.5mm_EP1.45x1.45mm,1,TCA6408ARGT,
U18,TAU1113,1,TAU1113,
U19,SOT-583-8_L2.1-W1.2-P0.50-LS1.6-BL,1,LM66200DRLR,C3235556
U20,VQFN-46-1EP_5x6mm_P0.4mm_EP2.8x3.8mm,1,LP5036,
U3,DSBGA-15_L2.6-W2.0-R5-C3-P0.50-BL,1,BQ27742YZFR-G1,C2842397
U4,ESP32-C5-MINI-1,1,ESP32-C5-MINI-1,
U5,WQFN-18_L3.0-W2.5-P0.40-TL,1,BQ25628RYKR,C6055599
U6,BUZ-SMD_4P-L8.5-W8.5-P8.50-BR,1,HYG-8503A,C7544813
U7,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR,1,TPL5010DDCR,C473912
U8,VSON-10_L3.0-W2.0-P0.50-TL,1,TPS63802DLAR,C2845237
U9,X2SON-4_L1.0-W1.0-P0.65-TL-EP,1,TPS7A0228DQNR,C5220175
USB1,USB-C-SMD_G-SWITCH_GT-USB-7010ASV,1,GT-USB-7010ASV,C2988369
